filename	row_count	status	note
china_sichuan_2008.csv	717	OK	Wenchuan mainshock + aftershock sequence, Sichuan
china_yunnan_general.csv	114	OK	Yunnan general seismicity window
china_xinjiang_general.csv	485	OK	Xinjiang/Tian Shan general seismicity window
india_gujarat_bhuj_2001.csv	99	OK	Bhuj mainshock + aftershock sequence, Gujarat
india_kashmir_2005.csv	519	OK	Kashmir mainshock + aftershock sequence
india_assam_general.csv	255	OK	Northeast India / Assam general seismicity window
pakistan_balochistan_2013.csv	46	OK	Awaran mainshock + aftershock sequence, Balochistan
colombia_andes_general.csv	700	OK	Colombian Andes general seismicity window
argentina_sanjuan_general.csv	1054	OK	San Juan / Mendoza general seismicity window
bolivia_deep_general.csv	960	OK	Bolivia deep-focus general seismicity window
guatemala_general.csv	1642	OK	Guatemala general seismicity window
elsalvador_2001.csv	142	OK	El Salvador mainshock + aftershock sequence, Jan-Feb 2001
costarica_general.csv	612	OK	Costa Rica general seismicity window
panama_general.csv	513	OK	Panama general seismicity window
puertorico_2020_ponce.csv	1253	OK	Ponce/Indios sequence, southwest Puerto Rico
dominicanrepublic_general.csv	323	OK	Dominican Republic general seismicity window
jamaica_general.csv	14	SPARSE (<15)	Jamaica general seismicity window
croatia_petrinja_2020.csv	18	OK	Petrinja mainshock + aftershock sequence
albania_durres_2019.csv	65	OK	Durres mainshock + aftershock sequence
spain_lorca_2011.csv	2	SPARSE (<15)	Lorca mainshock + aftershock sequence
portugal_azores_general.csv	163	OK	Azores general seismicity window
tanzania_rift_general.csv	223	OK	Tanzania / western rift general seismicity window
drc_rift_general.csv	137	OK	DR Congo / Lake Kivu rift general seismicity window
mozambique_general.csv	18	OK	Mozambique general seismicity window
iraq_halabja_2017.csv	63	OK	Halabja/Zagros mainshock + aftershock sequence
saudiarabia_harrat_general.csv	14	SPARSE (<15)	Harrat Lunayyir / western Saudi Arabia general seismicity window
lebanon_general.csv	23	OK	Lebanon general seismicity window
russia_sakhalin_general.csv	207	OK	Sakhalin general seismicity window
russia_baikal_general.csv	114	OK	Lake Baikal rift general seismicity window
usa_hawaii_kilauea_2018.csv	2170	OK	Kilauea eruption-associated sequence, 2018
usa_california_southnapa_2014.csv	25	OK	South Napa mainshock + aftershock sequence
usa_cascadia_general.csv	844	OK	Cascadia general seismicity window (deliberately lower/quieter than corpus norm)
canada_britishcolumbia_general.csv	641	OK	British Columbia general seismicity window
australia_general.csv	619	OK	Australia continent-wide general seismicity window (deliberately low-rate)
vanuatu_general.csv	2484	OK	Vanuatu general seismicity window
solomonislands_general.csv	2116	OK	Solomon Islands general seismicity window
fiji_general.csv	195	OK	Fiji general seismicity window
samoa_general.csv	163	OK	Samoa general seismicity window
centralasia_kyrgyzstan_tajikistan.csv	3204	OK	Kyrgyzstan/Tajikistan general seismicity window
uzbekistan_general.csv	134	OK	Uzbekistan general seismicity window
mongolia_gobialtai_general.csv	70	OK	Gobi-Altai / Mongolia general seismicity window
china_qinghai_yushu_2010.csv	30	OK	Yushu mainshock + aftershock sequence, Qinghai
china_gansu_general.csv	72	OK	Gansu general seismicity window
china_taiwanstrait_general.csv	105	OK	Taiwan Strait general seismicity window
china_hebei_general.csv	27	OK	Hebei / North China Plain general seismicity window
china_shanxi_general.csv	32	OK	Shanxi general seismicity window
china_tibet_plateau_general.csv	864	OK	Tibetan plateau (west of existing Tibet 202501 catalog) general window
india_uttarakhand_general.csv	103	OK	Uttarakhand general seismicity window
india_andaman_general.csv	1504	OK	Andaman-Nicobar subduction zone general window
bangladesh_general.csv	135	OK	Bangladesh general seismicity window
pakistan_general.csv	1449	OK	Pakistan (broader than existing Balochistan-2013 catalog) general window
nepal_sikkim_general.csv	64	OK	Nepal/Sikkim border general seismicity window
colombia_armenia_1999.csv	18	OK	Armenia/Quindio mainshock + aftershock sequence
peru_pisco_2007.csv	138	OK	Pisco mainshock + aftershock sequence
peru_arequipa_2001.csv	238	OK	Arequipa mainshock + aftershock sequence
ecuador_general.csv	933	OK	Ecuador (broader than existing Muisne-Pedernales-2016 catalog) general window
chile_iquique_2014.csv	621	OK	Iquique mainshock + aftershock sequence
chile_maule_2010.csv	948	OK	Maule mainshock + aftershock sequence
venezuela_general.csv	502	OK	Venezuela (broader than existing 202606 catalog) general window
brazil_general.csv	12	SPARSE (<15)	Brazil general seismicity window (deliberately low/moderate-rate, intraplate)
