filename	row_count	status	note
china_sichuan_2008_recent.csv	492	OK	Wenchuan sequence -- later, non-overlapping window (2008-2026) capturing seismicity that postdates the 8th/9th-pass original window
china_yunnan_general_recent.csv	75	OK	Yunnan general -- later, non-overlapping window (2020-2026) capturing seismicity that postdates the 8th/9th-pass original window
china_xinjiang_general_recent.csv	258	OK	Xinjiang/Tian Shan general -- later, non-overlapping window (2022-2026) capturing seismicity that postdates the 8th/9th-pass original window
india_gujarat_bhuj_2001_recent.csv	65	OK	Bhuj sequence -- later, non-overlapping window (2001-2026) capturing seismicity that postdates the 8th/9th-pass original window
india_kashmir_2005_recent.csv	235	OK	Kashmir sequence -- later, non-overlapping window (2006-2026) capturing seismicity that postdates the 8th/9th-pass original window
india_assam_general_recent.csv	64	OK	NE India/Assam general -- later, non-overlapping window (2022-2026) capturing seismicity that postdates the 8th/9th-pass original window
pakistan_balochistan_2013_recent.csv	70	OK	Awaran sequence -- later, non-overlapping window (2014-2026) capturing seismicity that postdates the 8th/9th-pass original window
colombia_andes_general_recent.csv	332	OK	Colombian Andes general -- later, non-overlapping window (2022-2026) capturing seismicity that postdates the 8th/9th-pass original window
argentina_sanjuan_general_recent.csv	316	OK	San Juan/Mendoza general -- later, non-overlapping window (2022-2026) capturing seismicity that postdates the 8th/9th-pass original window
bolivia_deep_general_recent.csv	306	OK	Bolivia deep-focus general -- later, non-overlapping window (2022-2026) capturing seismicity that postdates the 8th/9th-pass original window
guatemala_general_recent.csv	509	OK	Guatemala general -- later, non-overlapping window (2022-2026) capturing seismicity that postdates the 8th/9th-pass original window
elsalvador_2001_recent.csv	1547	OK	El Salvador sequence -- later, non-overlapping window (2001-2026) capturing seismicity that postdates the 8th/9th-pass original window
costarica_general_recent.csv	215	OK	Costa Rica general -- later, non-overlapping window (2022-2026) capturing seismicity that postdates the 8th/9th-pass original window
panama_general_recent.csv	151	OK	Panama general -- later, non-overlapping window (2022-2026) capturing seismicity that postdates the 8th/9th-pass original window
puertorico_2020_ponce_recent.csv	1697	OK	Ponce/Indios sequence -- later, non-overlapping window (2020-2026) capturing seismicity that postdates the 8th/9th-pass original window
dominicanrepublic_general_recent.csv	148	OK	Dominican Republic general -- later, non-overlapping window (2022-2026) capturing seismicity that postdates the 8th/9th-pass original window
jamaica_general_recent.csv	11	SPARSE (<15)	Jamaica general -- later, non-overlapping window (2022-2026) capturing seismicity that postdates the 8th/9th-pass original window
croatia_petrinja_2020_recent.csv	11	SPARSE (<15)	Petrinja sequence -- later, non-overlapping window (2021-2026) capturing seismicity that postdates the 8th/9th-pass original window
albania_durres_2019_recent.csv	50	OK	Durres sequence -- later, non-overlapping window (2020-2026) capturing seismicity that postdates the 8th/9th-pass original window
spain_lorca_2011_recent.csv	10	SPARSE (<15)	Lorca sequence -- later, non-overlapping window (2011-2026) capturing seismicity that postdates the 8th/9th-pass original window
portugal_azores_general_recent.csv	38	OK	Azores general -- later, non-overlapping window (2022-2026) capturing seismicity that postdates the 8th/9th-pass original window
tanzania_rift_general_recent.csv	103	OK	Tanzania/western rift general -- later, non-overlapping window (2022-2026) capturing seismicity that postdates the 8th/9th-pass original window
